INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:> Time step 134, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.3280202811583877 seconds
INFO:root:> Time step 135, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.3708708530757576 seconds
INFO:root:> Time step 136, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.293142191832885 seconds
INFO:root:> Time step 137, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.3679994579870254 seconds
INFO:root:> Time step 138, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.4222550839185715 seconds
INFO:root:> Time step 139, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.364091207040474 seconds
INFO:root:> Time step 140, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.2788305419962853 seconds
INFO:root:> Time step 141, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.3740978501737118 seconds
INFO:root:> Time step 142, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.343093612929806 seconds
INFO:root:> Time step 143, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.4287020650226623 seconds
INFO:root:> Time step 144, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.294965826906264 seconds
INFO:root:> Time step 145, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.286682960111648 seconds
INFO:root:> Time step 146, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.3203529028687626 seconds
INFO:root:> Time step 147, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.3622363610193133 seconds
INFO:root:> Time step 148, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.3776958119124174 seconds
INFO:root:> Time step 149, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.2590911148581654 seconds
INFO:root:> Time step 150, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.345090333139524 seconds
INFO:root:> Time step 151, take action 4, instance reward 0.0, cumulative reward 1.0, used 3.3950987851712853 seconds
INFO:root:> Time step 152, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.3943199480418116 seconds
INFO:root:> Time step 153, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.4190835531335324 seconds
INFO:root:> Time step 154, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.297521961852908 seconds
INFO:root:> Time step 155, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.4159703319892287 seconds
INFO:root:> Time step 156, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.4985898179002106 seconds
INFO:root:> Time step 157, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.3136730678379536 seconds
INFO:root:> Time step 158, take action 4, instance reward 0.0, cumulative reward 1.0, used 3.3955824319273233 seconds
INFO:root:> Time step 159, take action 4, instance reward 0.0, cumulative reward 1.0, used 3.3967364160344005 seconds
INFO:root:> Time step 160, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.37178513687104 seconds
INFO:root:> Time step 161, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.3047947459854186 seconds
INFO:root:> Time step 162, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.300282796146348 seconds
INFO:root:> Time step 163, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.2619812909979373 seconds
INFO:root:> Time step 164, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.3841964029707015 seconds
INFO:root:> Time step 165, take action 5, instance reward 1.0, cumulative reward 2.0, used 3.3975228269118816 seconds
INFO:root:> Time step 166, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.302066389936954 seconds
INFO:root:> Time step 167, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.26976928091608 seconds
INFO:root:> Time step 168, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.331309136003256 seconds
INFO:root:> Time step 169, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.3124618178699166 seconds
INFO:root:> Time step 170, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.318920976947993 seconds
INFO:root:> Time step 171, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.5048121029976755 seconds
